x,y,z
-2556563.59012,5076447.77822,-2878072.54333
-2556539.27708,5076468.66578,-2878057.29792
-2556507.93122,5076490.63031,-2878046.39955
-2556541.31169,5076490.87953,-2878016.30844
-2557546.63789,5074546.43104,-2880551.11294
-2557507.43769,5074575.20046,-2880535.23516
-2557554.63105,5074564.78081,-2880511.68971
-2557507.52604,5074595.2314,-2880499.86836
-2557601.54688,5074559.42941,-2880479.46092
-2557534.27371,5074598.1027,-2880471.06128
-2562213.75132,5075600.37751,-2874540.39811
-2562253.52208,5075585.00237,-2874532.09624
-2562200.97482,5075624.28346,-2874509.57519
-2562239.51281,5075612.54363,-2874495.95337
-2562289.32642,5075597.75038,-2874477.67152
-2562242.20315,5075629.25749,-2874464.04273
-2562441.9422,5076220.90735,-2873240.95624
-2562492.66859,5076196.54609,-2873238.75598
-2562464.56575,5076225.13557,-2873213.30957
-2562430.86702,5076243.56484,-2873210.80363
-2562501.51802,5076210.04625,-2873207.01247
-2562480.53749,5076240.41211,-2873172.07515
-2561845.44633,5077321.81571,-2871827.30832
-2561812.94907,5077344.57624,-2871816.0575
-2561878.46792,5077311.61817,-2871815.87983
-2561907.48526,5077309.56924,-2871793.61637
-2561877.11272,5077332.02386,-2871781.01164
-2561847.92477,5077353.14671,-2871769.7042
-2560082.18174,5078769.61136,-2870839.50396
-2560152.96466,5078746.46446,-2870817.33089
-2560071.59999,5078790.38766,-2870812.18493
-2560113.25733,5078777.27388,-2870798.23603
-2560087.572,5078800.90244,-2870779.33966
-2560146.4077,5078777.80494,-2870767.73341
-2557190.90505,5080133.61506,-2871002.98297
-2557220.67988,5080133.64252,-2870976.41378
-2557151.43906,5080171.47158,-2870971.14878
-2557190.76584,5080157.33673,-2870961.13196
-2557219.1832,5080161.26845,-2870928.86287
-2557171.37836,5080187.04114,-2870925.83825
-2565666.77693,5071514.45953,-2878669.15025
-2565636.10545,5071539.33454,-2878652.66272
-2565722.41931,5071498.09347,-2878648.3903
-2565680.57145,5071536.01356,-2878618.8821
-2565661.34019,5071563.02237,-2878588.43839
-2565726.85276,5071532.30291,-2878584.16893
-2568338.17691,5070329.73625,-2878373.91155
-2568291.68989,5070357.82538,-2878365.91111
-2568320.32314,5070363.77318,-2878329.88474
-2568389.49236,5070331.68281,-2878324.6936
-2568308.50131,5070385.98742,-2878301.30124
-2568369.59314,5070359.66197,-2878293.16285
-2567516.55889,5068039.32697,-2883136.67732
-2567484.9231,5068071.0964,-2883109.00445
-2567436.22249,5068099.30688,-2883102.78329
-2567521.18598,5068065.72817,-2883086.1476
-2567490.94595,5068089.96259,-2883070.47668
-2567455.32094,5068108.78959,-2883069.10632
-2575697.30178,5068180.64548,-2875581.56803
-2575625.46236,5068218.67828,-2875578.88203
-2575666.78746,5068203.14743,-2875569.24041
-2575635.52393,5068233.7025,-2875543.38947
-2575694.36362,5068205.89784,-2875539.69236
-2575671.98574,5068228.09393,-2875520.61543
-2581026.72928,5067248.35636,-2872444.27581
-2580986.66701,5067288.99325,-2872408.58578
-2581019.29094,5067274.01188,-2872405.70052
-2581074.31193,5067253.40519,-2872392.61311
-2581017.5298,5067298.78612,-2872363.5778
-2581071.72588,5067271.85792,-2872362.38379
-2585427.97701,5070718.15755,-2862345.28706
-2585409.42171,5070740.72671,-2862322.06515
-2585472.25324,5070718.52165,-2862304.64869
-2585419.02386,5070755.81952,-2862286.65404
-2585454.50148,5070740.72037,-2862281.35716
-2585381.85608,5070778.03583,-2862280.8684
-2593099.67262,5067179.08775,-2861672.79411
-2593064.36887,5067206.03275,-2861657.0725
-2593159.03336,5067162.10112,-2861649.08204
-2593089.77454,5067210.62342,-2861625.92229
-2593126.24496,5067197.36336,-2861616.35417
-2593098.11612,5067224.96114,-2861592.97479
-2553112.15086,5077740.22098,-2878856.29954
-2553135.37129,5077747.03082,-2878823.695
-2553170.95357,5077730.88412,-2878820.61795
-2553110.39356,5077769.6722,-2878805.91121
-2553150.49555,5077764.85495,-2878778.84265
-2553108.31863,5077789.68116,-2878772.4584
-2549946.63744,5077322.81775,-2882395.90454
-2549980.63565,5077307.01522,-2882393.66343
-2550005.00934,5077311.84211,-2882363.59787
-2549901.65806,5077364.61382,-2882362.07173
-2549948.9709,5077348.18945,-2882349.14765
-2549954.77555,5077363.813,-2882316.4908
-2546717.11276,5080845.79879,-2879041.31899
-2546673.92823,5080875.24028,-2879027.56083
-2546643.04768,5080898.03872,-2879014.64183
-2546703.13525,5080873.52001,-2879004.76112
-2546689.03139,5080898.39944,-2878973.32949
-2546726.01832,5080886.61019,-2878961.41725
-2547726.91206,5075594.20624,-2887398.83548
-2547697.24414,5075612.34489,-2887393.12817
-2547736.15966,5075609.27094,-2887364.19412
-2547691.15897,5075640.54535,-2887348.92468
-2547772.52685,5075606.40046,-2887337.15021
-2547722.27258,5075633.39538,-2887334.03982
-2547876.98668,5071964.68643,-2893637.5171
-2547859.06566,5071988.77397,-2893611.07585
-2547902.65525,5071973.63247,-2893599.23468
-2547937.59419,5071962.10323,-2893588.67836
-2547861.75719,5072007.39547,-2893576.06545
-2547912.84003,5071998.91639,-2893545.94775
-2552254.77955,5066860.16475,-2898717.75292
-2552222.12043,5066892.41794,-2898690.13057
-2552261.16905,5066874.96252,-2898686.2609
-2552301.63796,5066862.59371,-2898672.24869
-2552217.52337,5066911.44379,-2898660.92087
-2552272.82732,5066900.30819,-2898631.69129
-2549908.16877,5064429.89231,-2905023.09744
-2549868.33161,5064457.52187,-2905009.89681
-2549947.88726,5064422.44853,-2905001.21085
-2549903.38343,5064454.25531,-2904984.82458
-2549863.62981,5064477.936,-2904978.43454
-2549930.6568,5064453.21039,-2904962.70634
-2561806.95631,5079683.48438,-2867682.30757
-2561778.74315,5079705.6452,-2867668.25649
-2561748.30806,5079724.06187,-2867662.82214
-2561820.52622,5079697.58006,-2867645.21631
-2561791.42395,5079718.92631,-2867633.40229
-2561772.10776,5079742.80845,-2867608.3533
-2566210.17142,5079090.90214,-2864793.52902
-2566181.75451,5079113.52702,-2864778.87149
-2566222.19479,5079104.85424,-2864758.02235
-2566194.63512,5079125.16762,-2864746.69496
-2566259.47487,5079095.05807,-2864741.99515
-2566226.29846,5079132.48969,-2864705.34912
-2559269.63564,5083093.1265,-2863903.66447
-2559341.69884,5083060.4403,-2863897.27973
-2559305.34346,5083088.59741,-2863879.79319
-2559345.0984,5083085.36949,-2863849.99498
-2559267.06261,5083126.29345,-2863847.09561
-2559315.73475,5083103.97903,-2863843.20594
-2555937.10302,5086334.63598,-2861123.29273
-2555975.367,5086320.85779,-2861113.60397
-2555923.65726,5086356.42537,-2861096.56816
-2555964.67937,5086346.65315,-2861077.29392
-2555935.28498,5086373.05945,-2861056.60885
-2555975.04552,5086360.17897,-2861043.98716
-2551587.40215,5089813.50046,-2858818.15787
-2551618.61748,5089806.29755,-2858803.12095
-2551599.05474,5089832.08813,-2858774.66382
-2551566.08391,5089849.95846,-2858772.27491
-2551627.33354,5089835.34708,-2858743.62095
-2551579.65341,5089864.67585,-2858733.95997
-2543505.6994,5091437.70205,-2863124.49664
-2543555.40853,5091420.86957,-2863110.26904
-2543484.60296,5091467.77774,-2863089.75457
-2543522.69342,5091452.64867,-2863082.82005
-2543554.19189,5091445.03983,-2863068.3679
-2543496.05051,5091485.00281,-2863048.95298
-2537573.20101,5100180.49231,-2852809.52666
-2537638.16281,5100160.44311,-2852787.5857
-2537591.67156,5100193.35402,-2852770.1029
-2537637.0199,5100179.90739,-2852753.80422
-2537564.56148,5100218.77134,-2852748.77631
-2537602.25054,5100208.21046,-2852734.13203
